Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Chelsea-2010,1.895,0.789,18.105,9.947,7.263,11.211,1.579,0.0,1.624,4.353,5.631578947368421
Everton-2010,1.579,0.684,12.947,7.474,6.842,11.684,1.789,0.105,2.856,3.495,7.0
Fulham-2010,1.579,0.474,12.579,7.053,5.0,12.158,1.526,0.053,3.733,3.493,6.368421052631579
Liverpool-2010,1.9,0.8,12.7,7.45,5.9,11.3,1.85,0.0,2.334,3.538,5.6
Man City-2010,1.556,0.944,12.778,7.111,6.056,11.444,1.611,0.056,2.218,3.89,6.444444444444445
Man United-2010,1.95,0.8,14.45,8.1,6.9,10.65,1.55,0.15,1.784,4.036,5.3
Newcastle-2010,1.474,0.789,11.737,6.895,5.947,11.105,1.684,0.053,3.735,3.543,6.631578947368421
Stoke-2010,1.211,0.632,9.474,4.474,4.316,10.895,1.737,0.053,4.363,3.636,7.052631578947368
Sunderland-2010,1.333,0.722,10.556,6.222,4.611,11.278,1.5,0.111,3.566,3.394,7.0
Tottenham-2010,1.368,0.789,14.842,8.263,5.895,9.263,1.158,0.0,2.5,3.656,5.7894736842105265
West Brom-2010,1.632,0.579,14.316,8.474,4.158,9.789,1.421,0.053,3.613,3.485,7.315789473684211
West Ham-2010,1.278,0.778,13.222,8.0,5.222,10.278,1.444,0.056,4.262,3.644,9.222222222222221
Wigan-2010,1.211,0.421,11.158,6.263,5.0,11.789,2.105,0.053,5.034,3.768,7.2631578947368425
Wolves-2010,1.368,0.737,9.684,5.158,6.105,11.684,1.421,0.0,4.541,3.643,7.578947368421052
Arsenal-2011,2.053,1.053,15.158,9.053,5.737,10.211,1.632,0.053,1.912,3.966,5.105263157894737
Aston Villa-2011,0.833,0.389,11.278,6.056,6.0,9.889,1.833,0.0,4.148,3.606,7.777777777777778
Blackburn-2011,1.053,0.421,10.737,6.211,4.632,10.368,1.474,0.158,4.945,3.87,7.631578947368421
Bolton-2011,1.211,0.526,12.368,6.947,6.316,11.526,1.158,0.0,5.5,3.993,8.368421052631579
Chelsea-2011,1.474,0.526,15.895,8.632,7.316,10.684,1.684,0.053,2.013,3.963,6.631578947368421
Everton-2011,1.55,0.65,11.75,6.3,3.95,11.6,1.55,0.0,3.168,3.506,6.75
