Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
West Brom-2011,1.0,0.632,11.526,6.368,4.526,10.368,1.211,0.0,3.948,3.582,7.2631578947368425
Wigan-2011,0.895,0.526,11.842,6.737,5.474,11.947,1.737,0.158,5.875,3.905,7.947368421052632
Wolves-2011,1.105,0.421,11.895,6.526,5.368,9.211,1.895,0.053,5.57,4.003,9.842105263157896
Arsenal-2012,2.053,0.947,14.526,8.368,6.684,9.526,0.947,0.053,2.163,3.939,5.578947368421052
Aston Villa-2012,0.75,0.4,9.95,5.7,4.7,10.8,1.75,0.1,4.675,3.785,7.9
Chelsea-2012,2.056,1.111,14.389,8.5,5.944,10.333,1.389,0.111,1.866,4.029,6.722222222222222
Everton-2012,1.684,0.947,16.368,9.316,6.368,11.526,1.526,0.105,2.441,3.592,5.894736842105263
Fulham-2012,1.526,0.632,11.895,7.105,4.737,10.158,1.053,0.053,3.612,3.631,8.68421052631579
Liverpool-2012,1.474,0.579,17.158,9.158,7.316,10.368,1.368,0.105,2.127,3.729,5.526315789473684
Man City-2012,1.789,0.526,16.579,9.737,7.579,11.895,1.474,0.053,1.637,4.619,4.578947368421052
Man United-2012,2.526,1.158,14.474,8.368,5.947,9.632,1.737,0.0,1.687,4.641,7.2105263157894735
Newcastle-2012,1.3,0.45,13.2,6.8,5.3,11.15,1.95,0.1,3.894,3.73,7.4
Norwich-2012,1.053,0.632,10.158,5.421,4.368,10.211,0.947,0.0,4.831,3.805,6.947368421052632
QPR-2012,0.842,0.316,12.684,7.105,5.474,11.211,1.474,0.105,4.713,3.895,8.157894736842104
Reading-2012,1.105,0.526,9.526,4.789,5.263,9.421,1.158,0.0,5.34,3.947,8.894736842105264
Southampton-2012,1.278,0.444,11.889,6.056,5.389,9.833,0.833,0.0,4.826,3.881,6.5
Stoke-2012,0.947,0.526,8.684,4.526,4.158,12.053,2.211,0.105,4.085,3.554,6.7894736842105265
Sunderland-2012,1.053,0.474,10.526,6.053,4.737,11.895,1.579,0.0,4.891,3.779,7.894736842105263
Swansea-2012,1.421,0.421,12.842,7.474,5.684,10.842,1.789,0.105,3.937,3.653,8.578947368421053
Tottenham-2012,1.789,0.526,15.737,9.474,6.105,8.105,1.421,0.105,2.494,3.803,5.2631578947368425
West Brom-2012,1.474,0.632,11.632,6.474,5.211,11.053,1.737,0.053,3.321,3.517,7.2631578947368425
West Ham-2012,1.222,0.611,11.167,6.722,5.944,12.722,2.056,0.056,3.791,3.572,9.222222222222221
Wigan-2012,1.1,0.35,11.45,6.15,4.8,11.35,1.8,0.1,4.472,3.705,8.1
Arsenal-2013,1.947,0.684,14.0,5.579,5.474,9.632,1.526,0.105,1.969,4.077,4.0
Aston Villa-2013,0.947,0.263,12.158,3.632,4.474,12.895,2.263,0.0,4.011,3.615,4.315789473684211
Cardiff-2013,0.789,0.211,10.579,2.842,4.474,9.737,1.263,0.0,4.924,3.763,5.894736842105263
Chelsea-2013,1.842,0.895,16.684,5.737,5.737,11.632,1.579,0.053,1.787,4.477,3.210526315789474
Crystal Palace-2013,0.632,0.316,10.895,3.474,3.684,9.684,1.053,0.105,7.271,4.36,4.157894736842105
Everton-2013,1.632,0.526,15.211,5.684,6.053,10.105,1.632,0.053,2.555,3.727,3.5789473684210527
Fulham-2013,1.0,0.368,10.105,3.632,4.263,9.632,1.421,0.0,5.112,3.818,6.368421052631579
Hull-2013,1.158,0.579,11.526,3.263,4.421,11.421,1.526,0.053,6.03,4.087,3.8947368421052633
Liverpool-2013,2.316,1.579,17.053,6.526,6.789,11.421,1.474,0.0,2.05,4.346,4.421052631578948
Man City-2013,2.842,1.316,17.737,6.474,7.263,10.737,1.526,0.0,1.614,4.709,3.473684210526316
Man United-2013,1.684,0.947,13.105,4.737,5.737,11.053,2.053,0.053,1.842,4.099,4.052631578947368
Newcastle-2013,1.526,0.737,15.263,5.0,4.474,11.579,1.421,0.105,3.78,3.667,4.368421052631579
Norwich-2013,0.842,0.263,12.526,3.632,4.895,10.947,1.368,0.0,5.206,3.929,5.526315789473684
Southampton-2013,1.368,0.684,13.0,4.474,5.684,12.947,1.684,0.0,3.296,3.644,3.1578947368421053
Stoke-2013,0.947,0.474,10.526,3.105,4.263,13.105,2.105,0.105,4.688,3.681,5.105263157894737
Sunderland-2013,0.789,0.368,12.158,3.211,5.0,10.632,1.263,0.263,4.63,3.652,4.894736842105263
Swansea-2013,1.263,0.316,13.053,4.474,6.158,9.632,1.789,0.053,3.612,3.651,3.789473684210526
Tottenham-2013,1.158,0.421,17.263,5.368,7.105,10.211,1.895,0.053,2.213,3.761,4.105263157894737
West Brom-2013,1.158,0.421,12.737,3.632,5.368,11.263,1.789,0.0,4.407,3.835,4.421052631578948
